gene,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4
GRIK2,0.544386,0,0.771427,0.183544,0.169239,2.49691,1.73588,0.181621,0.212602,0,0,1.27466
GRK5,6.50247,1.14767,1.32982,1.23372,11.122,0,8.40724,1.17899,0.249747,0.648035,1.53667,0.290034
GRK7,0,0,0,0,0,0,0,0,0,0,0,0.673425
GRM4,1.85189,0.304537,0.0845715,0.257503,0.140833,0.466072,0,0.242093,0.0331413,0.0224919,0.0917505,0.0987845
GRN,0,0,0,0,0,0,0,76.5728,0,0,0,0
GRPEL1,0,0,0,0,0,0,24.4506,0,0,0,0,0
GRSF1,24.2168,34.4726,16.927,10.3993,4.46453,9.68747,11.1956,12.3767,0,3.33336,2.97771,0
GRWD1,13.8556,15.5857,7.58249,15.6762,7.81119,9.05454,10.1369,4.96411,3.04123,4.22079,4.78448,1.59353
GRXCR1,0,0,0,0,0,0,0,0,0,0.0913315,0,0
GSDMB,4.98925,0,4.92876,0,0,8.88091,5.0091,0,0,0,0,4.5501
GSDMC,0.0263013,0.161344,0.0564959,0.027214,0,12.3079,2.72294,0.308743,10.4275,4.10702,0.0826286,0
GSE1,0,0,0,0,0,0,0,9.31914,0,0,0,0
GSKIP,7.91043,17.8299,5.94577,11.0018,3.11014,7.90803,18.8287,7.90539,0.409128,2.02948,3.13903,0
GSN,0,513.83,270.255,0,903.083,156.42,98.6605,235.712,41.0337,44.4316,111.215,76.0029
GSPT1,0,11.3806,0,0,4.72909,16.7077,15.752,6.67665,0,0,0,0
GSPT2,3.69211,4.37694,2.23501,0.0945904,4.0167,2.86039,2.74019,1.354,0.941942,0.899638,0.770777,0.650137
GSR,21.8706,35.8781,21.0307,25.1738,4.23199,23.7994,20.4346,6.46465,0,5.79947,5.91756,2.26711
GSTA1,0,0.144248,3.44867,0.117622,0,1.12102,0.125579,0.552857,0.412674,0.516545,0.233075,0.0535429
GSTM3,4.96108,3.36678,1.94172,0.880569,14.5821,5.57373,0.97807,2.17077,0.211491,0.300186,1.63152,0.544925
GSTM5,5.72865,0.581746,4.25893,0.0323674,70.0136,3.41799,0.11445,0,0.250503,0.693262,0.355805,3.17226
GSTO1,80.8771,82.4411,52.3973,103.403,80.6748,102.426,157.793,43.5847,22.2091,19.3196,25.1639,53.6787
GSTO2,17.3673,29.4834,22.5626,33.0523,2.24867,0,0,0,9.80074,0,0,2.49426
GSTP1,485.935,884.149,589.993,923.822,409.826,657.42,203.41,800.341,214.201,341.383,232.499,103.934
GSTZ1,11.9633,10.0086,9.71813,18.9015,5.21777,5.92481,5.44263,10.0046,1.83149,5.94297,3.40324,4.03104
GTDC2,10.5149,11.1206,10.6424,6.96117,12.8555,6.37748,5.36568,5.99852,1.33318,3.38651,3.315,1.27247
GTF2A1L;STON1;STON1-GTF2A1L,4.27459,2.03211,1.55332,0.966427,6.36865,2.49543,1.72835,1.33349,1.38387,1.24604,1.38585,0.665519
GTF2A2,0,0,0,0,11.8322,14.6509,15.4987,8.15984,3.08654,5.72351,6.68591,3.82328
GTF2H1,0,0,0,0,0,0,0,0,4.50735,0,0,0
GTF2I,6.57372,7.75694,2.80008,5.51074,1.16013,3.0366,2.58718,2.99985,1.29513,0.878779,1.45486,1.62809
GTF2IRD1,0,0,0,20.7428,0,0,0,0,0,0,0,0
GTF3C5,18.884,24.7383,27.5266,25.1044,23.6734,24.5724,12.4742,12.2875,5.81087,9.00118,11.2731,5.60008
GTF3C6,35.6966,33.8699,24.4417,29.6352,9.02344,17.6904,66.3105,7.86607,3.19866,12.5297,8.9547,13.8189
GTPBP1,0,0,0,0,0,0,0,0,0,3.46915,0,0
GTPBP10,1.94368,2.1594,0,0,1.18203,0,1.86245,1.48219,0,0.526599,1.71704,0.568693
GTSE1,0,0,0,0,0,0,0,0,3.90488,0,0,0
GTSF1,0.598176,0.365923,0.0727777,0,0,1.17471,2.0007,0,0,1.2668,0.614427,1.54768
GUCD1,0,0,0,0,0,0,0,0,0,6.70674,0,0
GUCY1A2,1.57999,0.984602,0.204057,0.753643,3.16655,0.206123,0.467618,0.188126,0.0725991,0.234319,0.260881,0.328387
GUCY1A3,2.44412,0.600673,1.06262,0.920897,5.69122,0.400098,1.94177,0.363822,0.706729,0.77561,0.807895,1.42957
GUF1,0,0,0,0,0,0,0,0,0,0,2.73463,0
GUK1,123.404,110.925,78.7089,148.557,161.093,258.063,87.2616,87.0342,0,62.2283,50.2764,33.9515
GULP1,0,0,0,0,0,0,0,0.677902,0,0,0,0
GXYLT2,0,0,0,0,0,0,0,0,0,0,4.43254,0
GYG1,15.8291,14.3099,9.50536,7.21912,32.8902,9.24726,0,8.63602,2.36264,5.45807,8.59142,0
GYLTL1B,2.92093,0,2.81481,7.76921,0,3.32919,0,0,4.66099,6.87472,4.89451,0.244291
GYPC,0,0,0,0,80.6178,0,0,0,0,0,0,0
GZMA,0,0,3.67745,1.89894,1.2601,12.2587,76.2081,3.47479,2.37266,1.83341,0,3.00591
GZMB,5.77775,1.46611,1.13093,1.06682,0,0,46.5466,0.6852,3.72279,2.18334,3.11978,0.818141
GZMH,0.972009,0.667473,1.20708,0.209426,1.77738,2.11071,21.3807,0.498013,0.533367,0.327413,2.61486,1.09861
GZMK,10.4594,2.15664,3.49233,0.865183,0.496675,0,44.0502,0.593603,0.215573,1.82734,5.18889,3.17786
H19;MIR675,0,0,0,0,476.161,0,0,0,0,0,0,0
H1F0,95.8021,77.5371,54.3606,84.776,74.3572,145.25,68.9269,57.0235,25.0683,32.3723,61.8126,5.60331
H2AFZ,0,0,0,0,0,0,0,0,25.0664,0,0,0
H3F3B,135.425,235.768,135.085,239.24,113.108,119.138,86.9349,114.132,49.867,55.9751,50.2365,34.2888
H3F3C,38.7067,33.1801,11.3918,27.3941,7.13293,6.73331,0,9.16687,0,0,0,1.94451
H6PD,0,0,0,7.8024,11.3717,10.8682,0,6.36196,5.60786,3.35907,5.11044,2.8392
HAAO,0,0,0,0,0,4.01067,0,0,0,0,0,0
HABP4,6.47608,2.98444,3.27062,0,10.9657,0,0,0,0,1.21,3.01128,2.15171
